candidate_id,source_episode_id,customer_message_id,conversation_id,customer_text,cluster_id,cluster_family,sampling_reason,embedding_index,cluster_probability,outlier_score,centroid_margin
GC-165,2434973,2434973,2434977,"@AmazonHelp This is the fourth time this has happended same story same reason same outcome, no delivery",78,detail_provided,merge_MG-06,76761,0.3522,0.6478,0.0018
GC-166,2444070,2444070,2444072,@AmazonHelp Not the stick the NEW FIRE TV DONGLE THING.,94,fire_tv,short_message,76988,0.4154,0.5846,0.1083
GC-167,2500807,2500807,2500801,@AmazonHelp D’accord merci 👌🏾,122,off_topic_chat,short_message,78693,1.0,0.0925,0.1453
GC-168,2511763,2511763,19137,@AmazonHelp already chase ur #resolution team Jokers never learn simply sorry and work done.. Pathetic @35358 @115850,9,negative_frustration,rare_cluster,78991,1.0,0.0,0.2591
GC-169,2538867,2538867,2538856,@AmazonHelp Vous etes comique vous ! Les commandes ont étaient effectuées avec mon solde chèque cadeau ! https://t.co/G0p3qmS2cg,-1,noise,noise_diverse,79803,0.0,0.9565,0.0218
GC-170,2565609,2565609,2565611,@AmazonHelp Thank you. Its Amazon Logistics and my name is Denise Pastor,7,megacluster_unclear,split_cluster7,80546,0.9369,0.8308,0.2156
GC-171,2571882,2571882,2571883,@AmazonHelp Thank you,4,ack_thanks,common_boundary,80721,0.0129,0.9871,0.0
GC-172,2586325,2586325,2586326,@AmazonHelp If u are always happy to help why not sort the deliverys out? Thats the 3rd in 2 weeks that has been screwed up! So much for prime Next Day!,156,shipping_speed,split_c156,81033,0.7888,0.6414,0.0002
GC-173,2595470,2595470,2595471,"@AmazonHelp Hi, I have spoken to the customer care and they have said that it’s a known issue. They have anyways escalated the issue to the concerned team. Do you still want me to connect using the link provided?",139,complaint_service_quality,common_confident,81217,1.0,0.1463,0.067
GC-174,2602288,2602288,2602275,@AmazonHelp Thank you,3,ack_thanks,low_probability_boundary,81487,0.1146,0.8854,0.0
GC-175,2604930,2604930,2604926,@AmazonHelp Thank you,3,ack_thanks,low_probability_boundary,81632,0.2984,0.7016,0.0
GC-176,2613137,2613137,2613139,"@AmazonHelp Schon getestet, aber ich werde es nochmal versuchen. Immer wenn ich meine Bestellungen aufrufen möchte, muss ich mein Passwort eingeben. Trotz richtiger Eingabe kommt die Meldung „Da ist etwas schief gelaufen“ und ich muss das Passwort wieder eingeben. Am iPad funktioniert alles.",184,account_login,common_boundary,81925,1.0,0.5891,0.0003
GC-177,2623937,2623937,2623940,@AmazonHelp 27 de Outubro 😅,122,off_topic_chat,ood_candidate,82235,0.8399,0.4992,0.1026
GC-178,2667313,2667313,2667316,@AmazonHelp Pedí un libro de texto con envío exprés el 28 de octubre y ni siquiera tengo una fecha estimada,109,off_topic_chat,common_boundary,82988,1.0,0.2197,0.0
GC-179,2667348,2667348,2667363,"@AmazonHelp Na ja, vielleicht den Tipp an die Technik weitergeben, dass man unter dem Reiter 'Konto schließen' das Konto schließen kann?😉 das springt ja nur im Kreis. https://t.co/OAMdhVEhpY",-1,noise,multilingual,82993,0.0,0.9563,0.0526
GC-180,2669926,2669926,2669931,"@AmazonHelp No, ni creo que deba hacerlo. Los que debéis encargaros de que el producto llegue sois vosotros, no yo",-1,noise,multilingual,83087,0.0,0.9447,0.0234
GC-181,2679214,2679214,2679212,@AmazonHelp RESPONDENDO NOVAMENTE: ESPERAR! FOI A RECOMENDAÇÃO! ESPERAR! ESPERAR!,122,off_topic_chat,multilingual,83394,0.7609,0.5463,0.1182
GC-182,2711815,2711815,2711813,@AmazonHelp Do you have a linj for an online chat? :),163,contact_channel,short_message,84178,0.7257,0.4472,0.2331
GC-183,2721782,2721782,141067,@AmazonHelp I hv already updated on the given link yesterday,-1,noise,noise_diverse,84405,0.0,0.7808,0.0419
GC-184,2726790,2726790,2726791,"@AmazonHelp No, I didn't because the item is in transit and most probably will be delivered to me tomorrow. in case I report you guys there is nothing that you can do. You always keep asking to wait for 24/48/72 hours nothing else.",-1,noise,noise_diverse,84628,0.0,0.9262,0.0145
GC-185,2728028,2728028,2728029,@AmazonHelp no reply?,75,cs_team_no_response,common_confident,84665,1.0,0.0,0.2681
GC-186,2746009,2746009,2746010,@AmazonHelp Why was your own internal helpline rude and unhelpful to the delivery driver? Why couldn’t the delivery driver go back to warehouse and get my order fixed. It’s less than a mile away? https://t.co/iIHqpeXsQB,198,delivery_driver,common_boundary,85073,0.4119,0.5881,0.0001
GC-187,2779260,2779260,2779258,"@AmazonHelp That is exactly what Im trying to say. I stay in the capital city of Manipur - Imphal with pin code 795001, n it is not serviceable by amazon Prime for all PRIME product.But If i give a pin code of remote area, very far from the city - e.g 795010, it is reflected as serviceable.",13,stock_availability,rare_cluster,86105,1.0,0.0,0.0836
GC-188,2790631,2790631,2790632,@AmazonHelp I got the information. Thanks ...,52,ack_thanks,rare_cluster,86401,1.0,0.0,0.2204
GC-189,2793154,2793154,2793155,"@AmazonHelp (1/2) It has not been a matter of carrier for pre-ordered books, but a matter of my books not shipping on time. I spoke with customer support yesterday and the assured me that my book would arrive today, it will not. Amazon is the only place I shop for books...",109,off_topic_chat,ood_candidate,86499,0.7577,0.7126,0.0665
GC-190,2801379,2801379,2801384,@AmazonHelp Puedo contactar al transportista por ese mismo enlace?,177,carrier_unreachable,rare_cluster,86658,1.0,0.0,0.1653
GC-191,2877038,2877038,2877039,@AmazonHelp I found this with literally every tempered glass screen protector for Samsung Galaxy S7 with over 100 reviews. All had drastically different reviews depending on whether I filtered on verified purchases. Many verified purchaser reviews expressed frustration at this situation too.,80,product_question,rare_cluster,89081,1.0,0.0,0.2932
GC-192,2905036,2905036,2905037,@AmazonHelp Thank you,0,ack_thanks,contextual_turn,90340,0.6891,0.3109,0.0
GC-193,2910313,2910313,2910316,@AmazonHelp caixa de pássaros por recomendação da @805698 😻,-1,noise,noise_diverse,90540,0.0,0.9444,0.0373
GC-194,2932744,2932744,2932749,@AmazonHelp Etes vous Marie ? Psk moi non et je cherche encore mon âme soeur ?,-1,noise,multilingual,91317,0.0,0.9163,0.0268
GC-195,2932791,2932791,2932785,@AmazonHelp Thank you,0,ack_thanks,low_probability_boundary,91330,0.5786,0.4214,0.0
GC-196,2933527,2933527,2933528,"@AmazonHelp Non pas encore. J’irai ce soir après le travail. Le libraire me connaît bien, on devrait retrouver facilement mon 📦 :)",109,off_topic_chat,common_boundary,91352,1.0,0.5367,0.0001
GC-197,2935106,2935106,2935107,@AmazonHelp Oh dont worry i caught the driver before he pulled out. We would have been two pallets short. That shouldn't happen. Especially not during this season. That slows up the line of delivery for him and makes my job that much harder. I will be reporting it,198,delivery_driver,common_random,91428,0.7638,0.2362,0.1863
GC-198,2936680,2936680,2936678,@AmazonHelp I didn't receive any estimated delivery date at all. It's Xanathar's Guide to Everything by Wizards of the Coast.,-1,noise,noise_diverse,91535,0.0,0.5161,0.1301
GC-199,2948129,2948129,2948133,"@AmazonHelp Realmente estoy muy contenta, porque se ha adelantado la entrega un montón, primero ha pasado de llegar el día 5-12 al 30-11 y me ha llegado la notificación por la mañana de que llega hoy al final, es sólo que ahora estoy con muchas más ganas de que llegue ^^",34,ack_thanks,rare_cluster,92018,0.4376,0.5624,0.0537
GC-200,2967719,2967719,2967720,@AmazonHelp Thank you,0,ack_thanks,low_probability_boundary,92715,0.5245,0.4755,0.0
GC-201,2970527,2970527,2970525,@AmazonHelp Yes. I just told you that. I'd prefer a refund asap. I don't want to have to chase this up.,189,refund_request,common_confident,92812,1.0,0.1931,0.1066
GC-202,2981852,2981852,2981854,@AmazonHelp Yes i tried all of those things. Even went to my neighbors to check left and right of my house nothing. What’s upsetting is it says driver delivered to a recipient. Called support not much help there either was told to wait until 4pm tommorow 🤐 twice in a month unbelievable!!!!,198,delivery_driver,common_confident,93077,1.0,0.0,0.1716
GC-203,2985508,2985508,2985509,@AmazonHelp Yes I received an email saying it had been successfully changed but it still won’t work. I’ve tried logging into my other account and it works fine but for some reason this one won’t work?,184,account_login,common_confident,93141,1.0,0.0,0.2283
GC-204,2987276,2987276,2987279,@AmazonHelp I think the issue is resolved. Prime was accidentally activated via Amazon Video on the Wii when we already have Prime on a separate credit card. I wanted it taken off and the email did not take it off &amp; did not answer my question about using it on the Wii. Chat was better.,156,shipping_speed,common_confident,93165,1.0,0.5351,0.0608
