cluster_id,cluster_size,preliminary_label,customer_goal,confidence,coherent,possible_parent_intent,kind,family_key,exact_dup_share,median_member_chars,url_share,multilingual_flag,merge_candidates,split_candidates,reasoning,representative_examples
51,72,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.028,39.5,0.014,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=72, dup=0.0277777777777777, url_share=0.0138888888888888.",@AmazonHelp I have filled it out again ;; @AmazonHelp Filled.... Plzzzzz check ;; @AmazonHelp Have filled it again. Please check.
52,47,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.0,43.0,0.0,yes,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=47, dup=0.0, url_share=0.0.",@AmazonHelp Super merci de l'info ;; @AmazonHelp Ok thanks for the information 👍 ;; @AmazonHelp OK thanks for the information.
53,36,"Link / page not working, missing, or not helping",Get a working link or have the requested action done without a broken form.,high,yes,Verification / information flow,intent,link_issue,0.0,83.5,0.056,yes,MG-07,,"High confidence. Family: Link / page not working, missing, or not helping. Signials: size=36, dup=0.0, url_share=0.0555555555555555.",@AmazonHelp No error message- just a completely blank page. ;; @AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out? ;; @AmazonHelp says no page found 🤔
54,48,"Link / page not working, missing, or not helping",Get a working link or have the requested action done without a broken form.,high,yes,Verification / information flow,intent,link_issue,0.167,33.0,0.0,no,MG-07,,"High confidence. Family: Link / page not working, missing, or not helping. Signials: size=48, dup=0.1666666666666666, url_share=0.0.",@AmazonHelp It's called Link ;; @AmazonHelp Where is the link???????????? ;; @AmazonHelp Where is the link ?
55,137,"Link / page not working, missing, or not helping",Get a working link or have the requested action done without a broken form.,high,yes,Verification / information flow,intent,link_issue,0.029,52.0,0.029,no,MG-07,,"High confidence. Family: Link / page not working, missing, or not helping. Signials: size=137, dup=0.0291970802919708, url_share=0.0291970802919708.","@AmazonHelp The provided link didn't help me ;; @AmazonHelp Yes, but when I follow that link, there are no links to subtopics on my left sidebar. We’ve just replicated the problem, one tier down ;; @AmazonHelp That link is not working for me"
56,32,"Link / page not working, missing, or not helping",Get a working link or have the requested action done without a broken form.,high,yes,Verification / information flow,intent,link_issue,0.062,39.5,0.0,no,MG-07,,"High confidence. Family: Link / page not working, missing, or not helping. Signials: size=32, dup=0.0625, url_share=0.0.","@AmazonHelp Please send me link,we don't get link from your side,please provide us and worl fast ;; @AmazonHelp Provide me the link here ;; @AmazonHelp please share link again."
57,78,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.0,62.5,0.0,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=78, dup=0.0, url_share=0.0.",@AmazonHelp I have shared my detail here as your link is not working. Please share delivery proof ASAP. ;; @AmazonHelp Please send me the link 1nce again where I had shared my details. ;; @AmazonHelp Yes I have shared the details on the link shared. I can share everything here as well point by point if you want
58,325,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.102,41.0,0.0,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=325, dup=0.1015384615384615, url_share=0.0.",@AmazonHelp Allready mention all information ;; @AmazonHelp Already Shared The Details.... ;; @AmazonHelp I have send the details....
59,1097,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.0,59.0,0.989,yes,,59,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=1097, dup=0.0, url_share=0.9890610756608932.",@AmazonHelp Ty ily i got it https://t.co/7p36VzAWD6 ;; @AmazonHelp I don't know. This is all I have. https://t.co/V0E2r2fnix ;; @AmazonHelp I never got it !! https://t.co/dENOyNcGBr
60,126,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.0,75.5,0.548,yes,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=126, dup=0.0, url_share=0.5476190476190477.",@AmazonHelp I have replied more than 3 times first read the screen shots and than say anything https://t.co/L6x2sTefn2 ;; @AmazonHelp I had submit the info which was being ask on that link here is the screenshot https://t.co/z2e18354Ke ;; @AmazonHelp Screenshot wurde vor 10 Minuten gemacht :) Danke für die schnelle Rückmeldung.
61,35,"Awaiting resolution outcome / case progress (investigation, complaint, case)",Get a concrete resolution or progress update on an open case/complaint/investigation.,high,yes,Support progress: waiting / nudge,intent,resolution_pending,0.0,86.0,0.029,no,,,"High confidence. Family: Awaiting resolution outcome / case progress (investigation, complaint, case). Signials: size=35, dup=0.0, url_share=0.0285714285714285.","@AmazonHelp Managed to get through to someone who is on the case 👌🏼 ;; @AmazonHelp its more than 1 month to raise on this , but my case is pending till now no resolving this.my case id is Case ID4061451452 , 4088488792, 4058506922. ;; @AmazonHelp Wat more details ur support team is already aware of this pending case"
62,39,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),"Get the delivery speed paid for or promised (Prime), or compensation for the miss.",high,yes,Delivery & shipping,intent,shipping_speed,0.0,96.0,0.103,no,,,"High confidence. Family: Paid-for / Prime delivery speed not honoured (one/two-day/same-day). Signials: size=39, dup=0.0, url_share=0.1025641025641025.","@AmazonHelp I mean, it's pretty simple. You give me a guaranteed delivery date, and AMZL gets it here by that date maybe 50% of the time, at best. So what am I  ;; @AmazonHelp but I paid extra for one day delivery! ;; @AmazonHelp I pay for your prime service and I was supposed to receive a makeup vanity today. My boyfriend even took the day off work to make sure he was home f"
63,122,Asking what to do next / for guidance,Get clear next steps or guidance for the current situation.,medium,yes,Support progress: waiting / nudge,intent,next_step_guidance,0.049,37.0,0.008,yes,,,"Medium confidence. Family: Asking what to do next / for guidance. Signials: size=122, dup=0.0491803278688524, url_share=0.0081967213114754.",@AmazonHelp Is there anything else I can do? ;; @AmazonHelp What to do? ;; @AmazonHelp vendedor externo. o que eu devo fazer?
64,139,"Awaiting resolution outcome / case progress (investigation, complaint, case)",Get a concrete resolution or progress update on an open case/complaint/investigation.,high,yes,Support progress: waiting / nudge,intent,resolution_pending,0.0,109.0,0.022,yes,,,"High confidence. Family: Awaiting resolution outcome / case progress (investigation, complaint, case). Signials: size=139, dup=0.0, url_share=0.0215827338129496.",@AmazonHelp Done- complaint sent. ;; @AmazonHelp Any Progress regarding my complaint ;; @AmazonHelp I have already registered my complaint. Please take some action.
65,62,Issue now resolved / sorted - acknowledgment,Confirm the problem is resolved and close the thread; no further action requested.,high,yes,Conversation closure (artifact),artifact,resolution_thanks,0.0,37.5,0.032,no,,,"High confidence. Family: Issue now resolved / sorted - acknowledgment. Signials: size=62, dup=0.0, url_share=0.032258064516129.",@AmazonHelp Successs!!! Somehow it Works now!! Thanks 😩🙏🏼🙌🏽 ;; @AmazonHelp Thanks. Yes did this and now works fine xx ;; @AmazonHelp It worked thanks 👍🏾
66,73,Item not received although marked delivered / item missing from parcel,Locate or replace an item that did not arrive despite being marked delivered.,high,yes,Delivery & shipping,intent,item_missing,0.0,122.0,0.137,yes,,,"High confidence. Family: Item not received although marked delivered / item missing from parcel. Signials: size=73, dup=0.0, url_share=0.136986301369863.",@AmazonHelp I haven't yet received any update on my complain. Worse part is that I can't hear anything on those earphones. ;; @AmazonHelp Les écouteurs oui le reste non ;; @AmazonHelp Yes. I had headphones that were supposed to come today but didn’t and I wanna listen to music
67,110,Music Unlimited availability / playback issues,Fix Amazon Music playback or availability for specific tracks.,high,yes,Digital content & streaming,intent,music,0.0,117.5,0.136,yes,,,"High confidence. Family: Music Unlimited availability / playback issues. Signials: size=110, dup=0.0, url_share=0.1363636363636363.",@AmazonHelp No. It only plays a handful of the songs by the artist. Even though all of them say they are available to play ;; @AmazonHelp Bei Musik unlimited geht nichts?! https://t.co/wCvGaXW8ll ;; @AmazonHelp There are some songs that are greyed out but others are completely gone
68,140,Echo / Alexa device issues and routines,"Fix Echo/Alexa behaviour (routines, music, multi-device control) or understand device features.",high,yes,Amazon devices & apps,intent,echo_alexa,0.0,132.0,0.114,yes,,,"High confidence. Family: Echo / Alexa device issues and routines. Signials: size=140, dup=0.0, url_share=0.1142857142857142.","@AmazonHelp Me: Alexa, turn off my kitchen lights. Akexa: I found several devices matching that name. Which one did you want? Me: My. Kitchen. Lights. ;; @AmazonHelp Nope. Alexa needs to step up her game for African artists! Shorty slacking! ;; @AmazonHelp It’s not a skill unfortunately. We figured it out, you have to say “Alexa sing ME happy birthday” without the “me” it doesn’t work just FYI."
69,137,Echo / Alexa device issues and routines,"Fix Echo/Alexa behaviour (routines, music, multi-device control) or understand device features.",high,yes,Amazon devices & apps,intent,echo_alexa,0.0,131.0,0.073,no,,,"High confidence. Family: Echo / Alexa device issues and routines. Signials: size=137, dup=0.0, url_share=0.072992700729927.","@AmazonHelp I’ve change it to Echo see how i get on... ;; @AmazonHelp Thanks for the response! Correct, I'm in a small room with one Echo device, I make a request, and the one in the kitchen (definitely further away) r ;; @AmazonHelp Wird auf der Echo Produktseite als 3 und 2 pack angeboten https://t.co/7M13TXJwgp"
70,394,"Social / @-mention chatter (ambiguous, multilingual)",UNCERTAIN - @-mention reaction or idle chatter rather than a solvable request.,low,uncertain,Out-of-domain / conversational,ood,off_topic_chat,0.005,51.0,0.013,yes,,,"Low confidence. Family: Social / @-mention chatter (ambiguous, multilingual). Signials: size=394, dup=0.0050761421319796, url_share=0.0126903553299492.",@AmazonHelp @115851 I bet you won’t like to take any interest on this....... ;; @AmazonHelp @716307 Ja hat geklappt. ;; @AmazonHelp Muy serios los de @137605 . Muy serios.
71,171,Order status / where is my order (order number supplied),Get status or updates for a specific order after repeated requests.,high,yes,Orders & fulfilment,intent,order_status,0.023,36.0,0.006,yes,,,"High confidence. Family: Order status / where is my order (order number supplied). Signials: size=171, dup=0.023391812865497, url_share=0.0058479532163742.",@AmazonHelp N° DE COMMANDE 403-4401776-1509903 car y a pas de numero de suvi ;; @AmazonHelp 5180700103714 ;; @AmazonHelp Oui c’est le: C10044824983
72,80,Conversation closure: commitment to follow the suggested action,Signal that the customer will perform the action suggested by support.,high,yes,Conversation closure (artifact),artifact,ack_willdo,0.0,36.0,0.0,no,MG-02,,"High confidence. Family: Conversation closure: commitment to follow the suggested action. Signials: size=80, dup=0.0, url_share=0.0.","@AmazonHelp Okay, thanks – I'll try that. ;; @AmazonHelp Ok. Will try this. Thanks ;; @AmazonHelp Ok. Well… I’ll keep on trying. Thanks."
73,44,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.045,38.0,0.0,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=44, dup=0.0454545454545454, url_share=0.0.",@AmazonHelp I have replied on that many times ;; @AmazonHelp I have replied at least a dozen times... You asking me tovreply will not change ny claim ;; @AmazonHelp I’ve sent in the reply.
74,47,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.0,56.0,0.0,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=47, dup=0.0, url_share=0.0.","@AmazonHelp I have updated in the 'delovery feedback' section. Kindly act on it. ;; @AmazonHelp Yep, just submitted feedback. ;; @AmazonHelp I submitted a report through the link to help you guys with gathering feedback. ^_^ Thanks for the reply! Know that I wasn't upset at all~"
75,132,Team not responding / still no reply after contacting support,Get a reply or update from a team that has not answered despite earlier contact.,high,yes,Support progress: waiting / nudge,intent,cs_team_no_response,0.03,43.0,0.0,yes,MG-05,,"High confidence. Family: Team not responding / still no reply after contacting support. Signials: size=132, dup=0.0303030303030303, url_share=0.0.",@AmazonHelp So still no response. ;; @AmazonHelp yes but did not get any reply ;; @AmazonHelp yes i did no response yet
76,33,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.0,58.0,0.0,yes,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=33, dup=0.0, url_share=0.0.",@AmazonHelp OK thanks for getting back so quick :) ;; @AmazonHelp Thank you for getting back with me!! Going to the link now :) ;; @AmazonHelp Merci beaucoup. Je me suis occupé du retour par point relais à l'instant 😊
77,49,Product specification / eligibility question before purchase,"Get accurate information about a product (specs, battery, compatibility) before buying.",high,yes,Products & defects,intent,product_question,0.0,137.0,0.041,yes,,,"High confidence. Family: Product specification / eligibility question before purchase. Signials: size=49, dup=0.0, url_share=0.0408163265306122.","@AmazonHelp yep tried that. battery is down to 25% after less than a week with no usage. already tried resetting too. didn't help. ;; @AmazonHelp Without charger, battery doesn’t work, without battery, 4wheeler doesn’t work. If 4wheeler doesn’t work, it’s worthless. Need a resolution ;; @AmazonHelp 1. Does it work without being plugged in to power? 2. If yes, what is battery life? 3. Can it be used for receiving and making calls?"
78,122,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.041,40.0,0.008,no,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=122, dup=0.040983606557377, url_share=0.0081967213114754.",@AmazonHelp Replied already two times ;; @AmazonHelp Yes have done that twice ;; @AmazonHelp Have done that twice! No change
79,31,Complaint about support quality (copy-paste / bot-like / unhelpful),Get real (non-template) help instead of repeated standard replies.,high,yes,Agent / support experience,intent,complaint_service_quality,0.0,98.0,0.0,yes,,,"High confidence. Family: Complaint about support quality (copy-paste / bot-like / unhelpful). Signials: size=31, dup=0.0, url_share=0.0.",@AmazonHelp @115850 I hv done so much effort u do the same now some.Resolve it.no apologies no comp ref.dnt want that.u ppl always do that ;; @AmazonHelp Usless reply No proper help U all just waste our time ;; @AmazonHelp U only email me that we vl solve ur problem but still it's not.. u r only wasting time
80,36,Product specification / eligibility question before purchase,"Get accurate information about a product (specs, battery, compatibility) before buying.",high,yes,Products & defects,intent,product_question,0.111,83.5,0.083,yes,,,"High confidence. Family: Product specification / eligibility question before purchase. Signials: size=36, dup=0.1111111111111111, url_share=0.0833333333333333.",@AmazonHelp What about Samsung galaxy note 8 ;; @AmazonHelp Nothing about Samsung galaxy note 8 ;; @AmazonHelp Trying to order screen protector 4 my new Samsung Galaxy S8 &amp; I'm finding what I receive is far off from what's described &amp; reviews r bots
81,34,Prime Video: streaming / catalogue / subtitles / regional availability,"Fix streaming/playback problems, missing subtitles, or explain/change catalogue availability.",high,yes,Digital content & streaming,intent,prime_video,0.059,93.0,0.088,no,,,"High confidence. Family: Prime Video: streaming / catalogue / subtitles / regional availability. Signials: size=34, dup=0.0588235294117647, url_share=0.088235294117647.","@AmazonHelp Thanks! Punjabi movie industry has been doing really good work recently and having them on such platform is going to push them more! 🙏 ;; @AmazonHelp @119624 Do upload punjabi movies also, ;; @AmazonHelp When Arjun reddy movie will be available in Europe region ? I can see few telugu movies in same region"
82,46,Prime Video: streaming / catalogue / subtitles / regional availability,"Fix streaming/playback problems, missing subtitles, or explain/change catalogue availability.",high,yes,Digital content & streaming,intent,prime_video,0.0,121.5,0.13,yes,,,"High confidence. Family: Prime Video: streaming / catalogue / subtitles / regional availability. Signials: size=46, dup=0.0, url_share=0.1304347826086956.","@AmazonHelp Please add Subtitles to Downton Abbet ;; @AmazonHelp Please add This is Us Season 2. Add subtitles to Downton Abbey. ;; @AmazonHelp Ok. So there are subtitles for this season, right?"
83,89,Frustration / anger with little or no actionable request,Vent frustration or insult support; a concrete solvable request is absent from the reps.,high,yes,Sentiment / venting (not a customer goal),sentiment,negative_frustration,0.0,104.0,0.011,yes,,,"High confidence. Family: Frustration / anger with little or no actionable request. Signials: size=89, dup=0.0, url_share=0.0112359550561797.","@AmazonHelp Sirve para algo? La última vez se limitaron a pedir disculpas y no hacer nada más ;; @AmazonHelp I have the rights to know, I'm the one who has suffered. Don't try to deceive me. ;; @AmazonHelp This situation is Shared Previously also and by your side not taking any action. Just making fools by saying sorry only...."
84,40,Claims of false / misleading advertising,"Protest against advertised claims (delivery time, price, listing) that were not honoured.",medium,yes,Complaints & sentiment,sentiment,false_advertising,0.0,114.5,0.025,no,,,"Medium confidence. Family: Claims of false / misleading advertising. Signials: size=40, dup=0.0, url_share=0.025.",@AmazonHelp Hello? Is this not just blatant false advertising? ;; @AmazonHelp Complete loss of words as received email saying the issue has been addressed to!!! Baseless promotions n false advertisements ;; @AmazonHelp Because of false advertisement
85,175,Conversation closure: reports the requested action is done,Confirm the requested action (form/link/pickup) has been completed.,high,yes,Conversation closure (artifact),artifact,ack_done,0.366,27.0,0.0,no,MG-02,,"High confidence. Family: Conversation closure: reports the requested action is done. Signials: size=175, dup=0.3657142857142857, url_share=0.0.",@AmazonHelp Done ✅ 3:04a 10/30/17 ;; @AmazonHelp done. Thanks. ;; @AmazonHelp Done... thanks
86,33,Item not received although marked delivered / item missing from parcel,Locate or replace an item that did not arrive despite being marked delivered.,high,yes,Delivery & shipping,intent,item_missing,0.121,37.0,0.0,yes,,,"High confidence. Family: Item not received although marked delivered / item missing from parcel. Signials: size=33, dup=0.1212121212121212, url_share=0.0.","@AmazonHelp I never received one. ;; @AmazonHelp Didn't receive any! ;; @AmazonHelp I’ve said, nothing has been received!"
87,34,Conversation closure: reports the requested action is done,Confirm the requested action (form/link/pickup) has been completed.,high,yes,Conversation closure (artifact),artifact,ack_done,0.529,25.0,0.0,no,MG-02,,"High confidence. Family: Conversation closure: reports the requested action is done. Signials: size=34, dup=0.5294117647058824, url_share=0.0.",@AmazonHelp Done already ;; @AmazonHelp I already was done ;; @AmazonHelp 4X already
88,32,Complaint about support quality (copy-paste / bot-like / unhelpful),Get real (non-template) help instead of repeated standard replies.,high,yes,Agent / support experience,intent,complaint_service_quality,0.0,45.5,0.0,yes,,,"High confidence. Family: Complaint about support quality (copy-paste / bot-like / unhelpful). Signials: size=32, dup=0.0, url_share=0.0.",@AmazonHelp No solution to the problem yet. Not satisfied at all ;; @AmazonHelp Still problem is not solved ;; @AmazonHelp No and my problem remains unsolved
89,319,Issue now resolved / sorted - acknowledgment,Confirm the problem is resolved and close the thread; no further action requested.,high,yes,Conversation closure (artifact),artifact,resolution_thanks,0.006,58.0,0.009,no,,,"High confidence. Family: Issue now resolved / sorted - acknowledgment. Signials: size=319, dup=0.006269592476489, url_share=0.0094043887147335.","@AmazonHelp my issue was solved. thanks guys ;; @AmazonHelp Thanku. Problem got addressed yest. ;; @AmazonHelp thnx, matter resolved."
90,34,Defective / broken / failing product (incl. warranty),"Get a defective product fixed, replaced or refunded (incl. warranty claims).",high,yes,Products & defects,intent,product_defect,0.0,148.0,0.118,yes,,,"High confidence. Family: Defective / broken / failing product (incl. warranty). Signials: size=34, dup=0.0, url_share=0.1176470588235294.",@AmazonHelp Would you be satisfied with this purchase .. a laptop that breaks only 5 months after being purchased? and the way I was treated by the @115821 cust ;; @AmazonHelp Hi PJ. I ordered a laptop from a 3rd party seller. They sent the right kind of laptop but it's lacking features that was in the description: suppose ;; @AmazonHelp Honey my 300 year old laptop wont let me look at it it goes black just give me the link to set the claim
91,55,Conversation closure: short affirmation answers (yes / it is),Answer a yes/no check question from support; no separate problem stated.,medium,yes,Conversation closure (artifact),artifact,template_affirm,0.182,32.0,0.0,no,,,"Medium confidence. Family: Conversation closure: short affirmation answers (yes / it is). Signials: size=55, dup=0.1818181818181818, url_share=0.0.","@AmazonHelp Yes, i have already done that. ;; @AmazonHelp Ive been doing this ;; @AmazonHelp I already did this"
92,101,Short affirmative answers (action done but problem persists),Confirm an action was done while signalling the problem continues.,medium,uncertain,Conversation closure (artifact),artifact,template_affirm,0.178,29.0,0.0,no,,,"Medium confidence. Family: Short affirmative answers (action done but problem persists). Signials: size=101, dup=0.1782178217821782, url_share=0.0.",@AmazonHelp Yes i did ;; @AmazonHelp I did. It's SUER. ;; @AmazonHelp Just did.......
93,32,Conversation closure: short affirmation answers (yes / it is),Answer a yes/no check question from support; no separate problem stated.,medium,yes,Conversation closure (artifact),artifact,template_affirm,0.594,23.0,0.0,no,,,"Medium confidence. Family: Conversation closure: short affirmation answers (yes / it is). Signials: size=32, dup=0.59375, url_share=0.0.","@AmazonHelp yes, i have ;; @AmazonHelp yes. I have raised. ;; @AmazonHelp Of course I have!"
94,130,"Fire TV Stick issues (control, storage, freezing)","Fix Fire TV Stick behaviour (volume, storage, freezing, Miracast).",high,yes,Amazon devices & apps,intent,fire_tv,0.0,115.5,0.1,yes,,,"High confidence. Family: Fire TV Stick issues (control, storage, freezing). Signials: size=130, dup=0.0, url_share=0.1.","@AmazonHelp i have a fire tv stick. how do i turn it off when im not using it? also so i dont use the batteries when im not watching stuff ;; @AmazonHelp Probiere ich gerne nochmal aus. Da es jedoch auf dem FireTV Stick funktioniert schließe ich meinen Provider eher aus. ;; @AmazonHelp I'm unable to control the volume while using the FireStick, it affects normal TV functions like turning it on and off, &amp; the apps lag"
95,32,Complaint about support quality (copy-paste / bot-like / unhelpful),Get real (non-template) help instead of repeated standard replies.,high,yes,Agent / support experience,intent,complaint_service_quality,0.0,37.5,0.0,no,,,"High confidence. Family: Complaint about support quality (copy-paste / bot-like / unhelpful). Signials: size=32, dup=0.0, url_share=0.0.","@AmazonHelp NOT HELPFUL ;; @AmazonHelp appreciated, but doesn't really help. ;; @AmazonHelp But that is not helpful"
96,46,Prime Video: streaming / catalogue / subtitles / regional availability,"Fix streaming/playback problems, missing subtitles, or explain/change catalogue availability.",high,yes,Digital content & streaming,intent,prime_video,0.0,120.5,0.043,yes,,,"High confidence. Family: Prime Video: streaming / catalogue / subtitles / regional availability. Signials: size=46, dup=0.0, url_share=0.0434782608695652.","@AmazonHelp C'est étrange car au début c'est écrit : ""Nous sommes ravis de vous rappeler que vous bénéficiez de Prime Vidéo grâce à votre abonnement Amazon Prim ;; @AmazonHelp Thanks for your prompt response. Hope @116329 would be helpful as U did. @117128 Please support Amazon Prime Video App! Cheers ;; @AmazonHelp Es el primero. No sabía que tenía acceso a Prime Video por tener Amazon Prime. Muy buena la transmisión en vivo 👏👏👏"
97,42,Device or app not working (generic troubleshooting),Get a device/app working again after suggested fixes failed.,high,yes,Amazon devices & apps,intent,device_issue,0.0,31.0,0.0,no,,,"High confidence. Family: Device or app not working (generic troubleshooting). Signials: size=42, dup=0.0, url_share=0.0.",@AmazonHelp Says non compatible ;; @AmazonHelp Ain't working ;; @AmazonHelp Yes it still doesnt work
98,37,Device or app not working (generic troubleshooting),Get a device/app working again after suggested fixes failed.,high,yes,Amazon devices & apps,intent,device_issue,0.0,52.0,0.027,yes,,,"High confidence. Family: Device or app not working (generic troubleshooting). Signials: size=37, dup=0.0, url_share=0.027027027027027.",@AmazonHelp Would put error when try too ;; @AmazonHelp i tried that long back. it rung but no one picked up ;; @AmazonHelp I tried but it did not work.
99,41,Prime Video: streaming / catalogue / subtitles / regional availability,"Fix streaming/playback problems, missing subtitles, or explain/change catalogue availability.",high,yes,Digital content & streaming,intent,prime_video,0.0,122.0,0.049,yes,,,"High confidence. Family: Prime Video: streaming / catalogue / subtitles / regional availability. Signials: size=41, dup=0.0, url_share=0.048780487804878.",@AmazonHelp Seems kinda pointless seen as Netflix is working fine and dandy on my laptop... 🙄 ;; @AmazonHelp Thanks. I’ll stick with just Netflix then. The current compatibility is subpar to be honest. ;; @AmazonHelp And when I click on the Netflix app... https://t.co/MM3JmpHBgS
100,66,Prime Video: streaming / catalogue / subtitles / regional availability,"Fix streaming/playback problems, missing subtitles, or explain/change catalogue availability.",high,yes,Digital content & streaming,intent,prime_video,0.0,118.0,0.076,yes,,,"High confidence. Family: Prime Video: streaming / catalogue / subtitles / regional availability. Signials: size=66, dup=0.0, url_share=0.0757575757575757.","@AmazonHelp None of those solutions worked, unfortunately. And now none of the Prime movies have video. I can get audio/video with other apps, though (Netflix,  ;; @AmazonHelp It's fine. I fixed it by removing prime. It messes with the video subscription. ;; @AmazonHelp ¿Pero debo de pagar por utilizar el servicio de prime video?"
101,213,Device or app not working (generic troubleshooting),Get a device/app working again after suggested fixes failed.,high,yes,Amazon devices & apps,intent,device_issue,0.0,96.0,0.08,yes,,,"High confidence. Family: Device or app not working (generic troubleshooting). Signials: size=213, dup=0.0, url_share=0.0798122065727699.",@AmazonHelp It’s all sorted now - thanks!! I think my internet connection was wonky. Turned iPad to 4G and it downloaded immediately 😊 ;; @AmazonHelp I'm on my iPad--better to switch to a PC? ;; @AmazonHelp My iPhone. I always use it? Not sure why its suddenly saying that
102,542,"Kindle app issues (crashes, sync, content access)",Fix Kindle application behaviour (open/crash/sync).,high,yes,Amazon devices & apps,intent,kindle_app,0.0,104.0,0.077,yes,,,"High confidence. Family: Kindle app issues (crashes, sync, content access). Signials: size=542, dup=0.0, url_share=0.077490774907749.","@AmazonHelp There are no options in the app itself that I’ve seen. ;; @AmazonHelp Hab ich versucht, das ist es ja - ist über die App grad irgendwie nicht möglich. Springt immer wieder einen Schritt zurück. Trotzdem danke. ;; @AmazonHelp I downloaded the app and it won't open"
103,229,Network / router / connectivity issues affecting a service,Diagnose a connectivity problem blocking an Amazon service.,high,yes,Amazon devices & apps,intent,connectivity,0.013,110.0,0.048,yes,,,"High confidence. Family: Network / router / connectivity issues affecting a service. Signials: size=229, dup=0.0131004366812227, url_share=0.0480349344978165.","@AmazonHelp I've tried everything. Factory reset etc. It's completely random, drops signal at any time on any day. Almost unusable now. ;; @AmazonHelp I turned that off... the navigational support off.. everything off... restarted it and it still talks every time I touch the remote ;; @AmazonHelp I guess maybe my internet was bugging out for a bit. It's working now!"
104,64,Defective / broken / failing product (incl. warranty),"Get a defective product fixed, replaced or refunded (incl. warranty claims).",high,yes,Products & defects,intent,product_defect,0.0,135.0,0.0,yes,,,"High confidence. Family: Defective / broken / failing product (incl. warranty). Signials: size=64, dup=0.0, url_share=0.0.",@AmazonHelp Your latest solution is to buy another TV? What so that @116324 can delay it again and I'm a grand out of pocket? Genius ;; @AmazonHelp I did. And I did fill it out but that doesn’t help me get my tv. And not the funds are in limbo and I can’t get a tv that is a month late ;; @AmazonHelp Just had even more damaged replacement TV delivered. You overpackage unbreakable items and add no packaging to TVs. Muppets. now 31 min wait
105,164,Prime Video: streaming / catalogue / subtitles / regional availability,"Fix streaming/playback problems, missing subtitles, or explain/change catalogue availability.",high,yes,Digital content & streaming,intent,prime_video,0.0,104.0,0.049,yes,,,"High confidence. Family: Prime Video: streaming / catalogue / subtitles / regional availability. Signials: size=164, dup=0.0, url_share=0.048780487804878.","@AmazonHelp Dexter, jamais vu... Ca fait parti des ""vieilles"" séries que je dois voir avec House. Par contre, Game of Thrones, j'ai essayé la saison 1 et je n'y ;; @AmazonHelp Fast alle der ersten Staffel, soweit ich gesehen habe. Aber nicht dauerhaft. Kann jetzt keine nennen, ich gucke nun ein paar Folgen, wenn es auftrit ;; @AmazonHelp @308159 Ich denke hier ist der Unterschied zwischen OV &amp; dt. Denn bei OV ist bei mir auch die 3. Staffel zu sehen. Auf deutsch jedoch nicht 😉"
