noise_sample_pos,hdbscan_cluster,customer_message_id,conversation_id,created_dt,text,embedding_input,bucket
39453,-1,2339100,2339101,2017-10-20 09:33:14+00:00,@AmazonHelp I am an individual seller. Sold a mobile. Payment pending for many days. See that it should have been done on 18th itself. Still no show.,I am an individual seller. Sold a mobile. Payment pending for many days. See that it should have been done on 18th itself. Still no show.,fits_cluster_theme
39565,-1,2349497,2349495,2017-11-13 17:32:49+00:00,@AmazonHelp I have tried talking to your customer services online and all they say is it will arrive today then it doesn’t. Quite frankly I am appalled with your company,I have tried talking to your customer services online and all they say is it will arrive today then it doesn’t. Quite frankly I am appalled with your company,fits_cluster_theme
39920,-1,2378221,2378222,2017-11-14 05:48:09+00:00,"@AmazonHelp I’m in Canada. It’s Battlefront 2 I preordered. Earlier today it said I’d have it on the 14th by 8pm. But when it shipped they are now saying the 15th. May have to do with the holiday, Remembrance Day.","I’m in Canada. It’s Battlefront 2 I preordered. Earlier today it said I’d have it on the 14th by 8pm. But when it shipped they are now saying the 15th. May have to do with the holiday, Remembrance Day.",fits_cluster_theme
40535,-1,2412622,2353727,2017-11-14 17:05:16+00:00,@AmazonHelp Gracias. De verdad que estoy pegado a la pantalla 😂,Gracias. De verdad que estoy pegado a la pantalla 😂,offtopic_social
41120,-1,2457762,2457763,2017-11-15 05:41:39+00:00,"@AmazonHelp Other suggestions - breaking bad, friends, flash &amp; sherlock.","Other suggestions - breaking bad, friends, flash & sherlock.",offtopic_social
41198,-1,2460773,2460679,2017-11-15 08:05:37+00:00,"@AmazonHelp Check with your customer care. They blocked my number from call back service. Purchased a laptop branded ad New but got delivered Refurbished. Even, manufacturer HP confirmed it as Refurbished. Knowing this, your team blocked my number. #ShamelessAmazon","Check with your customer care. They blocked my number from call back service. Purchased a laptop branded ad New but got delivered Refurbished. Even, manufacturer HP confirmed it as Refurbished. Knowing this, your team blocked my number. #ShamelessAmazon",fits_cluster_theme
41613,-1,2484063,2484065,2017-11-15 15:24:38+00:00,@AmazonHelp Were supposed to be delivered yesterday. Ordered on prime Next Day,Were supposed to be delivered yesterday. Ordered on prime Next Day,fits_cluster_theme
41660,-1,2487010,2486976,2017-11-15 17:24:51+00:00,"@AmazonHelp Donc pour résumer mon compte est bloqué, vous devez avoir mes coordonnées bancaire uniquement via fax ou courrier et au final si la personne refuse via les deux moyens, le prélèvement continu à vie ?","Donc pour résumer mon compte est bloqué, vous devez avoir mes coordonnées bancaire uniquement via fax ou courrier et au final si la personne refuse via les deux moyens, le prélèvement continu à vie ?",fits_cluster_theme
41905,-1,2503566,2503567,2017-11-15 20:41:48+00:00,@AmazonHelp It's now updated less than 10 minutes ago at 8.30pm saying sorry it's late it'll be delivered at a later date. We waited in all day.,It's now updated less than 10 minutes ago at 8.30pm saying sorry it's late it'll be delivered at a later date. We waited in all day.,fits_cluster_theme
41943,-1,2508033,2508029,2017-11-15 22:31:06+00:00,"@AmazonHelp Claro que no va a volver a suceder, jamás vuelvo a mandar cosas a Barcelona. 😛 es que a lo mejor no entendieron el catalan jajaja","Claro que no va a volver a suceder, jamás vuelvo a mandar cosas a Barcelona. 😛 es que a lo mejor no entendieron el catalan jajaja",offtopic_social
42129,-1,2520598,2520599,2017-11-16 01:38:43+00:00,"@AmazonHelp It was shipped by a seller on your site, YnM. I have joint problems and the one for my weight class turned out to be too heavy. They advised I take the cover off &amp; that would help (it barely weighs anything) and then advised to return it","It was shipped by a seller on your site, YnM. I have joint problems and the one for my weight class turned out to be too heavy. They advised I take the cover off & that would help (it barely weighs anything) and then advised to return it",fits_cluster_theme
42469,-1,2538920,2538921,2017-11-16 11:27:01+00:00,"@AmazonHelp It's fine, I got an email saying it's out for delivery. Should hopefully arrive today. Thank you and sorry for getting angry.","It's fine, I got an email saying it's out for delivery. Should hopefully arrive today. Thank you and sorry for getting angry.",thread_turn
42590,-1,2545382,2545385,2017-11-16 14:16:13+00:00,@AmazonHelp How come when DPD or another courier deliver there is never a problem ? - even at weekends,How come when DPD or another courier deliver there is never a problem ? - even at weekends,fits_cluster_theme
42954,-1,2573732,2573733,2017-11-16 20:42:48+00:00,@AmazonHelp Ya casi. Gracias!!! sigan asi. 🤗,Ya casi. Gracias!!! sigan asi. 🤗,thread_turn
43336,-1,2601455,2601461,2017-11-17 08:09:01+00:00,@AmazonHelp You’re telling me I have to wait 36 hrs even tho I paid for 2 day shipping and it is now day 3? .____.,You’re telling me I have to wait 36 hrs even tho I paid for 2 day shipping and it is now day 3? .____.,fits_cluster_theme
43920,-1,2634858,2634859,2017-11-17 21:41:09+00:00,@AmazonHelp I have one major issue outstanding that needs to be addressed immediately involving a product that was not advertised properly and restocking/shipping fees being dumped on me.,I have one major issue outstanding that needs to be addressed immediately involving a product that was not advertised properly and restocking/shipping fees being dumped on me.,fits_cluster_theme
44348,-1,2677395,2677388,2017-10-31 14:50:53+00:00,@AmazonHelp no hay manera de elegir transporte cuando compramos?? solo me falla Seur¡¡¡¡ los demas geniales,no hay manera de elegir transporte cuando compramos?? solo me falla Seur¡¡¡¡ los demas geniales,fits_cluster_theme
44596,-1,2691724,2691725,2017-11-19 16:55:26+00:00,@AmazonHelp Thanks for the info ... but I am little worried that the cheaper product may be a copy/fake .. will I get a refund if the product isnt genuine ?,Thanks for the info ... but I am little worried that the cheaper product may be a copy/fake .. will I get a refund if the product isnt genuine ?,fits_cluster_theme
44796,-1,2710817,2710818,2017-11-20 02:51:09+00:00,@AmazonHelp Delivered,Delivered,data_fragment
44866,-1,2718058,2718077,2017-11-20 07:16:24+00:00,@AmazonHelp @57681 @117795 must be joking by sending this form again &amp; again. i have already escalated my concern twice with this form. Never seen such pathetic cust care service in my entire life. @19915 @18220 @131027 @1560,@57681 @117795 must be joking by sending this form again & again. i have already escalated my concern twice with this form. Never seen such pathetic cust care service in my entire life. @19915 @18220 @131027 @1560,fits_cluster_theme
45099,-1,2728905,2728907,2017-11-20 14:39:10+00:00,@AmazonHelp Lp Collect,Lp Collect,data_fragment
45753,-1,2771661,2771663,2017-11-21 13:44:11+00:00,@AmazonHelp No problem. You guys are the best :),No problem. You guys are the best :),thread_turn
45962,-1,2786349,2786350,2017-11-21 18:50:27+00:00,"@AmazonHelp Hi. The deliver has changed from 21st at order time to another 1 to 2 days by email today. Both item in stock and Prime, especially as I needed 1 item for today. Question is why has my order been delayed?","Hi. The deliver has changed from 21st at order time to another 1 to 2 days by email today. Both item in stock and Prime, especially as I needed 1 item for today. Question is why has my order been delayed?",fits_cluster_theme
45994,-1,2790452,2790456,2017-11-21 20:21:02+00:00,@AmazonHelp I did send details to this address at 10:46 this morning. I will resend again.,I did send details to this address at 10:46 this morning. I will resend again.,fits_cluster_theme
46174,-1,2802350,2802356,2017-11-22 01:09:13+00:00,@AmazonHelp Asked for help on chat. Got a sarcastic accusatory person who didn’t answer my question. Was just a silly shipping question.,Asked for help on chat. Got a sarcastic accusatory person who didn’t answer my question. Was just a silly shipping question.,fits_cluster_theme
46925,-1,2845650,2845651,2017-11-27 18:13:22+00:00,@AmazonHelp It technically says 8pm but usps and ups have both been to my house and no package. Carrier tracking is listed as USPS,It technically says 8pm but usps and ups have both been to my house and no package. Carrier tracking is listed as USPS,fits_cluster_theme
47049,-1,2853649,2853653,2017-11-27 20:44:29+00:00,"@AmazonHelp Je ne l'ai pas encore commander, je poser des questions avant de l'acheter pour être sûre de ce que j'achète.","Je ne l'ai pas encore commander, je poser des questions avant de l'acheter pour être sûre de ce que j'achète.",fits_cluster_theme
47784,-1,2889295,2889300,2017-11-28 13:52:20+00:00,"@AmazonHelp Yesterday, I paid $3.99 for that.","Yesterday, I paid $3.99 for that.",fits_cluster_theme
47823,-1,2891923,2891921,2017-11-29 06:53:40+00:00,@AmazonHelp I don’t know!,I don’t know!,thread_turn
48265,-1,2914468,2913185,2017-11-28 22:55:57+00:00,"@AmazonHelp Pues fantástica experiencia. Increíble fluidez con un hardware contenido, denota optimización. Prueba de Amazon Prime Video, Plex, Youtube y TWITCH pasadas con SOBRESALIENTE.Catalogo de APP's correcto..¡me pido otro para mi hermano! 😆 https://t.co/dZylmG7SrD","Pues fantástica experiencia. Increíble fluidez con un hardware contenido, denota optimización. Prueba de Amazon Prime Video, Plex, Youtube y TWITCH pasadas con SOBRESALIENTE.Catalogo de APP's correcto..¡me pido otro para mi hermano! 😆 https://t.co/dZylmG7SrD",offtopic_social
48540,-1,2929491,2929492,2017-11-29 07:02:02+00:00,@AmazonHelp Hanz cleared this up. Thank you!,Hanz cleared this up. Thank you!,thread_turn
48598,-1,2931392,2931386,2017-11-29 09:13:30+00:00,@AmazonHelp It finally worked and I sent the message through. But this means I am already screwed for an additional 7 thousand USD when I have to get in touch with my clients tomorrow..... On top of the immense amount I have already lost.,It finally worked and I sent the message through. But this means I am already screwed for an additional 7 thousand USD when I have to get in touch with my clients tomorrow..... On top of the immense amount I have already lost.,novel_or_unclear
48823,-1,2939257,2939258,2017-11-29 13:07:46+00:00,@AmazonHelp En cours de livraison,En cours de livraison,data_fragment
48956,-1,2946757,2946755,2017-11-29 17:07:26+00:00,"@AmazonHelp Si une solution : Réexpédition de mon colis mais 2 fois à quelques jours d'intervalle ça fait beaucoup de colis endommagés, j'vais finir par demander des boites en plomb. Et je ne sais pas pourquoi ils arrivent dans cet état là (ou n'arrive même pas d'ailleurs)","Si une solution : Réexpédition de mon colis mais 2 fois à quelques jours d'intervalle ça fait beaucoup de colis endommagés, j'vais finir par demander des boites en plomb. Et je ne sais pas pourquoi ils arrivent dans cet état là (ou n'arrive même pas d'ailleurs)",fits_cluster_theme
49530,-1,2976557,2976555,2017-11-30 03:33:37+00:00,"@AmazonHelp I ALREADY did. I want my son's bear plain and simple. If It's sold on your site, I should be able to contact the seller and get a prompt response.","I ALREADY did. I want my son's bear plain and simple. If It's sold on your site, I should be able to contact the seller and get a prompt response.",fits_cluster_theme
